Serial Number,Device Blueprint,Name,SiteID,EA_VID
FGVM04TM24002528,EA-VM,NM24-V1-C1-PK-FW,1,1
FGVM04TM24002529,EA-VM,NM24-V1-C1-HK-FW,2,1
FGVM04TM24002530,EA-VM,NM24-V2-C1-PK-FW,1,2
FGVM04TM24002531,EA-VM,NM24-V2-C1-HK-FW,2,2
FGVM04TM24002532,EA-VM,NM24-V3-C1-PK-FW,1,3
FGVM04TM24002533,EA-VM,NM24-V3-C1-HK-FW,2,3
FGVM04TM24002534,EA-VM,NM24-V4-C1-PK-FW,1,4
FGVM04TM24002535,EA-VM,NM24-V4-C1-HK-FW,2,4
FGVM04TM24002536,EA-VM,NM24-V5-C1-PK-FW,1,5
FGVM04TM24002537,EA-VM,NM24-V5-C1-HK-FW,2,5
FGVM04TM24002538,EA-VM,NM24-V6-C1-PK-FW,1,6
FGVM04TM24002539,EA-VM,NM24-V6-C1-HK-FW,2,6
FGVM04TM24002540,EA-VM,NM24-V7-C1-PK-FW,1,7
FGVM04TM24002541,EA-VM,NM24-V7-C1-HK-FW,2,7
FGVM04TM24002542,EA-VM,NM24-V8-C1-PK-FW,1,8
FGVM04TM24002543,EA-VM,NM24-V8-C1-HK-FW,2,8
FGVM04TM24002544,EA-VM,NM24-V9-C1-PK-FW,1,9
FGVM04TM24002545,EA-VM,NM24-V9-C1-HK-FW,2,9
